item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,ljt_eligibility,candidate_id,sentence_text,syntactic_frame,rationale,known_risks,approach_label,llm_draft_version
uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,eligible,1,The price of milk is low.,N-subj_copula_AdjP,cost sense forced by copula+gradable adj 'low'; price is +abstract/-animate so 'sounds angry' violates animacy/emotional predicate,,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,eligible,2,She checked the price of milk.,SVO-PP,cost sense forced by 'checked' + 'of milk'; price is the object of inspection,,verb-change,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,eligible,3,We paid a high price yesterday.,SVO-temporal,cost sense forced by 'paid' + gradable 'high'; transaction context,,transaction-frame,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,eligible,1,The price of milk sounds angry.,N-subj_copula_AdjP,price is -animate/-sentient; predicate 'sounds angry' requires +sentient subject,,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,eligible,2,She checked the price of happiness.,SVO-PP,price in 'cost' sense requires +countable/+material referent in PP; 'happiness' is -substance abstract,,concrete-violation,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,eligible,3,We paid a sleeping price yesterday.,SVO-temporal,price is -animate; modifier 'sleeping' requires +animate/+sentient head noun,,animate-violation,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,eligible,1,She showed me an old photograph.,SVO,picture sense forced by 'old' + transfer verb 'show',,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,eligible,2,We framed the old family photograph.,SVO,picture sense forced by 'framed' + 'old family',,modifier-swap,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,eligible,3,The photograph on the wall fell.,SV-PP,picture sense forced by 'on the wall' + 'fell',,subject-frame,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,eligible,1,She ate an old photograph happily.,SVO,photograph is -edible; 'eat' requires +edible direct object,,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,eligible,2,We framed the loud family photograph.,SVO,photograph is -audible; modifier 'loud' requires +audible head noun,,audible-violation,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,eligible,3,The photograph on the wall laughed.,SV-PP,photograph is -animate; predicate 'laughed' requires +animate/+sentient subject,,animate-violation,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,eligible,1,Flowers grew in the small garden.,SV-PP,place-where-things-grow sense forced by 'flowers grew in',,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,appropriate,NA,,routine,eligible,2,She watered the small front garden.,SVO,place-for-growing sense forced by 'watered' + 'small front',,object-frame,claude-opus-drafting-v1-2026-04-19
