item_id,target_word,target_level,target_position_in_testlet,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,sentence_text,sentence_length,target_position_in_sentence,syntactic_frame,n_context_non_1K,context_max_band,mean_context_logfreq,coca_bigram_max_mi,matching_quality,length_diff,logfreq_diff,n_wordnet_senses,tested_sense_dominance,polysemy_tier,dict_1st_sense_match,ljt_eligibility,loanword_status,cognate_ease,translation_ambiguity_JP,audio_file,audio_duration_ms,audio_sha256,llm_draft_version,native_rater_1_decision,native_rater_2_decision,final_decision,review_priority,revision_notes
uvlt_3k_t02_i02,counsel,3K,2,noun,guidance,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,dual,medium,one_to_many,,,,,,,,exclude,
uvlt_3k_t02_i02,counsel,3K,2,noun,guidance,inappropriate,b_collocation,,,,,,,,,,,,,,,dominant,,exclude,dual,medium,one_to_many,,,,,,,,exclude,
uvlt_3k_t06_i01,consent,3K,1,verb,agree,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_3k_t06_i01,consent,3K,1,verb,agree,inappropriate,b_collocation,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_3k_t07_i03,debate,3K,3,verb,talk about what is correct,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,dual,high,one_to_one,,,,,,,,exclude,
uvlt_3k_t07_i03,debate,3K,3,verb,talk about what is correct,inappropriate,b_collocation,,,,,,,,,,,,,,,dominant,,exclude,dual,high,one_to_one,,,,,,,,exclude,
uvlt_3k_t08_i03,absorb,3K,3,verb,take in,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_3k_t08_i03,absorb,3K,3,verb,take in,inappropriate,b_collocation,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_3k_t10_i02,former,3K,2,adjective,occurring earlier in time,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_3k_t10_i02,former,3K,2,adjective,occurring earlier in time,inappropriate,a_selectional,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_many,,,,,,,,exclude,
uvlt_4k_t01_i03,scenario,4K,3,noun,situation,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,loanword,high,one_to_one,,,,,,,,exclude,
uvlt_4k_t01_i03,scenario,4K,3,noun,situation,inappropriate,a_selectional,,,,,,,,,,,,,,,dominant,,exclude,loanword,high,one_to_one,,,,,,,,exclude,
uvlt_5k_t10_i02,mandatory,5K,2,adjective,required,appropriate,NA,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_one,,,,,,,,exclude,
uvlt_5k_t10_i02,mandatory,5K,2,adjective,required,inappropriate,a_selectional,,,,,,,,,,,,,,,dominant,,exclude,native,low,one_to_one,,,,,,,,exclude,
