item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,ljt_eligibility,candidate_id,sentence_text,syntactic_frame,rationale,known_risks,approach_label,llm_draft_version
uvlt_3k_t06_i02,specify,3K,verb,say clearly,appropriate,NA,,critical,careful,1,Please specify the exact meeting date.,SVO,say-clearly sense forced by 'exact meeting date',CRITICAL item. Report verb with broad collocates — foil may feel arbitrary. Native flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,appropriate,NA,,critical,careful,2,You must specify the meeting time.,SVO,say-clearly sense forced by modal 'must' + 'specify the meeting time'; base form target,CRITICAL: cand2/3 must block arbitrariness — using tightly bound collocates.,time-obj,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,appropriate,NA,,critical,careful,3,Please specify the address for delivery.,SVO-PP,say-clearly sense forced by 'specify the address for delivery',CRITICAL: address/delivery is a canonical specify-object; swap breaks more visibly.,address-obj,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,inappropriate,b_collocation,b_collocation,critical,careful,1,Please specify the exact meeting cloud.,SVO,specify + 'cloud' as obj non-collocate (specify date/time/amount/location/conditions/requirements standard),CRITICAL item. Report verb with broad collocates — foil may feel arbitrary. Native flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,inappropriate,b_collocation,b_collocation,critical,careful,2,You must specify the meeting rainbow.,SVO,'specify a rainbow' non-collocate; specify date/time/amount/location/conditions/requirements standard. Rainbow blocks conditional-rescue,CRITICAL: rainbow chosen to avoid compositional rescue; unambiguously external concrete.,object-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,inappropriate,b_collocation,b_collocation,critical,careful,3,Please specify the address for rainbows.,SVO-PP,specify + 'for rainbows' governed-PP non-collocate; specify + for + purpose/recipient (delivery/reference/clarity) standard,CRITICAL: swap moved to governed prep-object so candidate 3 tests a different syntactic position from candidate 2.,prep-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,appropriate,NA,,critical,careful,1,The museum exhibits ancient Greek art.,SVO,show-in-public sense forced by 'museum' + 'ancient Greek art',CRITICAL item. Reviewer flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,appropriate,NA,,critical,careful,2,The gallery exhibited modern Spanish paintings.,SVO,show-in-public sense forced by +gallery subj + 'modern Spanish paintings',CRITICAL: gallery/paintings maximally canonical.,painting-obj,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,appropriate,NA,,critical,careful,3,Artists exhibit their work every year.,SVO-temporal,show-in-public sense forced by 'artists exhibit their work every year',CRITICAL: artist+work is textbook exhibit pair.,artist-subj,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,inappropriate,b_collocation,b_collocation,critical,careful,1,The museum exhibits ancient Greek dinners.,SVO,exhibit + 'dinners' non-collocate (exhibit art/paintings/sculpture/work/artifacts standard),CRITICAL item. Reviewer flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,inappropriate,b_collocation,b_collocation,critical,careful,2,The gallery exhibited modern Spanish laughter.,SVO,'exhibit laughter' non-collocate; exhibit art/paintings/sculpture/work/artifacts standard,CRITICAL: laughter (-display-object) blocks the metonymic reading 'exhibit [artist]'s laughter' since gallery context rules out human-subject metonymy.,object-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,inappropriate,b_collocation,b_collocation,critical,careful,3,Artists exhibit their thunder every year.,SVO-temporal,'exhibit thunder' non-collocate; exhibit + artwork/craft/display-item/possession standard,"CRITICAL: thunder (natural phenomenon, -ownable, -artifact) blocks any possessive-exhibit metaphor such as 'their voice'.",object-collocate-2,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,appropriate,NA,,critical,careful,1,The heavy rain persisted for three days.,SV-PP,continue-to-happen sense forced by 'heavy rain persisted for three days',"CRITICAL item. FAIL-MODE-4 risk: oddness at for+triangles, not persist. Reviewer flag.",draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,appropriate,NA,,critical,careful,2,The loud noise persisted all night.,SV-temporal,continue-to-happen sense forced by +perceivable 'loud noise' + 'persisted all night',CRITICAL: matched with time-unit adjunct to block fail-mode-4.,noise-frame,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,appropriate,NA,,critical,careful,3,His strong cough persisted through winter.,SV-PP,continue-to-happen sense forced by +condition 'strong cough' + 'persisted through winter',CRITICAL: condition+through+season is prototypical persist frame.,cough-frame,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,inappropriate,b_collocation,b_collocation,critical,careful,1,The heavy rain persisted for three triangles.,SV-PP,persisted for + 'triangles' non-collocate duration unit (hours/days/weeks/months/years standard),"CRITICAL item. FAIL-MODE-4 risk: oddness at for+triangles, not persist. Reviewer flag.",draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,inappropriate,b_collocation,b_collocation,critical,careful,2,The loud noise persisted all triangle.,SV-temporal,persisted all + 'triangle' non-collocate temporal unit; persisted all + night/day/week/year standard,"CRITICAL: swap is in direct duration-complement of persist (adverbial), not elsewhere in the sentence — blocks fail-mode-4 attribution to unrelated words.",object-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,inappropriate,b_collocation,b_collocation,critical,careful,3,His strong cough persisted through rainbow.,SV-PP,'persisted through a rainbow' non-collocate; persist through + duration/season/event standard,CRITICAL: rainbow as prep-object of persist-through blocks fail-mode-4 since persist's prepositional argument is directly semantically ill-formed.,prep-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,appropriate,NA,,critical,careful,1,Please give an approximate cost today.,SVO,almost-exact sense forced by 'give an' + 'cost',CRITICAL item. Reviewer flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,appropriate,NA,,critical,careful,2,The approximate time is three hours.,SVC,almost-exact sense forced by 'approximate time' + 'is three hours',CRITICAL: matched with quantity-head noun.,time-head,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,appropriate,NA,,critical,careful,3,She gave an approximate weight estimate.,SVO,almost-exact sense forced by 'approximate weight estimate',CRITICAL: matched with measurement-head noun.,weight-head,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,inappropriate,a_selectional,b_collocation,critical,careful,1,Please give an approximate cousin today.,SVO,approximate + 'cousin' non-collocate (approximate number/cost/time/size/value/age/weight standard),CRITICAL item. Reviewer flag.,draft-v1,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,inappropriate,a_selectional,b_collocation,critical,careful,2,The approximate rainbow is three hours.,SVC,'approximate rainbow' non-collocate; approximate + number/time/size/cost/weight/age standard,"CRITICAL: rainbow (natural phenomenon, not measurable-quantity) unambiguously blocks approximate as modifier.",modifier-collocate,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,inappropriate,a_selectional,b_collocation,critical,careful,3,She gave an approximate thunder estimate.,SVO,'approximate thunder' non-collocate; approximate + quantifiable-noun head standard,CRITICAL: thunder is not a quantity-noun; 'approximate' requires +measurable head.,modifier-collocate-2,claude-opus-drafting-v1-2026-04-19
