group_id,item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,candidate_id,approach_label,sentence_text,syntactic_frame,rationale,known_risks,r1_q1,r1_q2,r1_q3,r1_q4,r1_notes,r2_q1,r2_q2,r2_q3,r2_q4,r2_notes,r1_best_candidate,r1_blend_spec,r1_group_notes,r2_best_candidate,r2_blend_spec,r2_group_notes,adjudication_final_candidate,adjudication_notes
uvlt_1k_t01_i01_app,uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,1,draft-v1,The price of milk is low.,N-subj_copula_AdjP,cost sense forced by copula+gradable adj 'low'; price is +abstract/-animate so 'sounds angry' violates animacy/emotional predicate,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i01_app,uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,2,verb-change,She checked the price of milk.,SVO-PP,cost sense forced by 'checked' + 'of milk'; price is the object of inspection,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i01_app,uvlt_1k_t01_i01,price,1K,noun,cost,appropriate,NA,,routine,3,transaction-frame,We paid a high price yesterday.,SVO-temporal,cost sense forced by 'paid' + gradable 'high'; transaction context,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i01_inapp,uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,The price of milk sounds angry.,N-subj_copula_AdjP,price is -animate/-sentient; predicate 'sounds angry' requires +sentient subject,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i01_inapp,uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,2,concrete-violation,She checked the price of happiness.,SVO-PP,price in 'cost' sense requires +countable/+material referent in PP; 'happiness' is -substance abstract,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i01_inapp,uvlt_1k_t01_i01,price,1K,noun,cost,inappropriate,a_selectional,a_selectional,routine,3,animate-violation,We paid a sleeping price yesterday.,SVO-temporal,price is -animate; modifier 'sleeping' requires +animate/+sentient head noun,,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i02_app,uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,1,draft-v1,She showed me an old photograph.,SVO,picture sense forced by 'old' + transfer verb 'show',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i02_app,uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,2,modifier-swap,We framed the old family photograph.,SVO,picture sense forced by 'framed' + 'old family',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i02_app,uvlt_1k_t01_i02,photograph,1K,noun,picture,appropriate,NA,,routine,3,subject-frame,The photograph on the wall fell.,SV-PP,picture sense forced by 'on the wall' + 'fell',,,,,,,,,,,,,,,,,,,
uvlt_1k_t01_i02_inapp,uvlt_1k_t01_i02,photograph,1K,noun,picture,inappropriate,a_selectional,a_selectional,routine,1,draft-v1,She ate an old photograph happily.,SVO,photograph is -edible; 'eat' requires +edible direct object,,,,,,,,,,,,,,,,,,,
